"207","2527 BROADWAY, New York City, NY,  ","Match","Exact","2527 BROADWAY, NEW YORK, NY, 10025","-73.972565,40.793602","59656597","L","36","061","018300","5001"
"9826","2130 ADAM C POWELL BOULEVARD, New York City, NY,  ","No_Match"
"208","2 EAST 75 STREET, New York City, NY,  ","Match","Exact","2 E 75TH ST, NEW YORK, NY, 10021","-73.965485,40.77435","59657292","R","36","061","013000","4002"
"-4120","249 WEST 15 STREET, New York City, NY,  ","Match","Exact","249 W 15TH ST, NEW YORK, NY, 10011","-74.00052,40.73981","650153782","R","36","061","008100","5000"
"209","35 EAST 35 STREET, New York City, NY,  ","Match","Exact","35 E 35TH ST, NEW YORK, NY, 10016","-73.982155,40.748306","59654396","L","36","061","008200","3000"
"-506","480 ST MARKS AVENUE, New York City, NY,  ","No_Match"
"9829","191 MADISON STREET, New York City, NY,  ","Match","Exact","191 MADISON ST, NEW YORK, NY, 10002","-73.99038,40.71262","611181066","L","36","061","000600","1002"
"-5458","477 3 STREET, New York City, NY,  ","Match","Non_Exact","477 3RD AVE, NEW YORK, NY, 10016","-73.978874,40.744682","59654449","R","36","061","007000","1001"
"9828","1810 ADAM C POWELL BOULEVARD, New York City, NY,  ","No_Match"
"-502","419 VANDERBILT AVENUE, New York City, NY,  ","No_Match"
"-4139","200 EAST 7 STREET, New York City, NY,  ","Match","Exact","200 E 7TH ST, NEW YORK, NY, 10009","-73.98031,40.724686","59654712","R","36","061","002602","2002"
"9841","607 WEST 113 STREET, New York City, NY,  ","Match","Exact","607 W 113TH ST, NEW YORK, NY, 10025","-73.965706,40.80625","642471604","R","36","061","019900","1000"
"9842","42 WEST 83 STREET, New York City, NY,  ","Match","Exact","42 W 83RD ST, NEW YORK, NY, 10024","-73.971985,40.78385","59656764","L","36","061","016900","6000"
"-510","383 ST JOHNS PLACE, New York City, NY,  ","No_Match"
"-5460","765 GRAND STREET, New York City, NY,  ","No_Match"
"215","344 EAST 49 STREET, New York City, NY,  ","Match","Exact","344 E 49TH ST, NEW YORK, NY, 10017","-73.9679,40.753788","59658725","R","36","061","009000","4000"
"216","33 WEST 63 STREET, New York City, NY,  ","Match","Exact","33 W 63RD ST, NEW YORK, NY, 10023","-73.980865,40.770855","650081449","R","36","061","014900","4000"
"217","27 WEST 16 STREET, New York City, NY,  ","Match","Exact","27 W 16TH ST, NEW YORK, NY, 10011","-73.99363,40.737747","59653508","R","36","061","005400","1005"
"-5465","279 KOSCIUSZKO STREET, New York City, NY,  ","No_Match"
"-4133","2647 BROADWAY, New York City, NY,  ","No_Match"
"-6795","142 EAST 33 STREET, New York City, NY,  ","Match","Exact","142 E 33RD ST, NEW YORK, NY, 10016","-73.97988,40.74559","59654440","R","36","061","007200","5000"
"-515","1354 BEDFORD AVENUE, New York City, NY,  ","No_Match"
"219","911 8 AVENUE, New York City, NY,  ","Match","Exact","911 8TH AVE, NEW YORK, NY, 10019","-73.98425,40.764847","59655255","L","36","061","013900","4000"
"-6794","64 THOMPSON STREET, New York City, NY,  ","Match","Exact","64 THOMPSON ST, NEW YORK, NY, 10012","-74.00312,40.724277","59660276","R","36","061","004700","1002"
"-512","1273 PACIFIC STREET, New York City, NY,  ","No_Match"
"-511","263 EASTERN PARKWAY, New York City, NY,  ","No_Match"
"8508","200 CLINTON STREET, New York City, NY,  ","Match","Exact","200 CLINTON ST, NEW YORK, NY, 10002","-73.98715,40.71426","59654296","L","36","061","000201","1000"
"9839","56 EAST 7 STREET, New York City, NY,  ","No_Match"
"-4136","39 WEST 8 STREET, New York City, NY,  ","No_Match"
"9850","634 ST NICHOLAS AVENUE, New York City, NY,  ","Match","Exact","634 ST NICHOLAS AVE, NEW YORK, NY, 10030","-73.945816,40.8218","59656272","R","36","061","022700","3001"
"9854","2071 MADISON AVENUE, New York City, NY,  ","Match","Exact","2071 MADISON AVE, NEW YORK, NY, 10037","-73.93796,40.809406","59656514","R","36","061","020600","2001"
"9853","23 EAST 124 STREET, New York City, NY,  ","Match","Exact","23 E 124TH ST, NEW YORK, NY, 10035","-73.941925,40.805397","59657988","L","36","061","019800","1002"
"220","1700 YORK AVENUE, New York City, NY,  ","Match","Exact","1700 YORK AVE, NEW YORK, NY, 10128","-73.94567,40.77791","59658374","R","36","061","015200","6006"
"221","420 WEST END AVENUE, New York City, NY,  ","Match","Exact","420 W END AVE, NEW YORK, NY, 10024","-73.980545,40.785183","59656653","R","36","061","016700","3001"
"222","419 3 AVENUE, New York City, NY,  ","No_Match"
"-5472","2282 OCEAN AVENUE, New York City, NY,  ","No_Match"
"227","400 WEST 59 STREET, New York City, NY,  ","Match","Exact","400 W 59TH ST, NEW YORK, NY, 10019","-73.98626,40.76984","639418366","L","36","061","014500","2000"
"228","25 WEST 68 STREET, New York City, NY,  ","Match","Exact","25 W 68TH ST, NEW YORK, NY, 10023","-73.97863,40.774002","59657015","R","36","061","015300","6000"
"8516","26 GATES AVENUE, New York City, NY,  ","No_Match"
