"-11787","21 GRAMERCY PARK SOUTH, New York City, NY,  ","Match","Non_Exact","21 GRAMERCY PARK W, NEW YORK, NY, 10003","-73.986496,40.73842","59653655","L","36","061","005000","1001"
"-10456","425 ROCKAWAY PARKWAY, New York City, NY,  ","No_Match"
"-14814","219 EAST 84 STREET, New York City, NY,  ","Match","Exact","219 E 84TH ST, NEW YORK, NY, 10028","-73.954414,40.777287","59658277","L","36","061","014601","3000"
"2383","92 MORNINGSIDE AVENUE, New York City, NY,  ","Match","Exact","92 MORNINGSIDE AVE, NEW YORK, NY, 10027","-73.95529,40.809612","59656051","R","36","061","025700","1005"
"2382","337 WEST 138 STREET, New York City, NY,  ","Match","Exact","337 W 138TH ST, NEW YORK, NY, 10030","-73.94662,40.81905","59655987","R","36","061","022102","1003"
"-10461","42 SIDNEY PLACE, New York City, NY,  ","No_Match"
"-11791","1480 1 AVENUE, New York City, NY,  ","No_Match"
"-14820","41 PARK AVENUE, New York City, NY,  ","Match","Non_Exact","41 PARK ROW, NEW YORK, NY, 10038","-74.0067,40.711742","640780155","R","36","061","001501","1003"
"1048","109 GOLD STREET, New York City, NY,  ","Match","Exact","109 GOLD ST, NEW YORK, NY, 10038","-74.00416,40.710247","650070257","L","36","061","001501","1009"
"-10465","302 EASTERN PARKWAY, New York City, NY,  ","No_Match"
"1047","80 DEKALB AVENUE, New York City, NY,  ","No_Match"
"-10464","926 47 STREET, New York City, NY,  ","No_Match"
"-10463","9480 RIDGE BOULEVARD, New York City, NY,  ","No_Match"
"2376","227 AUDUBON AVENUE, New York City, NY,  ","Match","Exact","227 AUDUBON AVE, NEW YORK, NY, 10033","-73.934494,40.845776","59655656","R","36","061","026100","5001"
"-14826","261 LEXINGTON AVENUE, New York City, NY,  ","Match","Exact","261 LEXINGTON AVE, NEW YORK, NY, 10016","-73.97909,40.747265","59654429","R","36","061","008000","3000"
"-11799","77 DELANCEY STREET, New York City, NY,  ","Match","Exact","77 DELANCEY ST, NEW YORK, NY, 10002","-73.98999,40.718983","640889799","R","36","061","001800","2003"
"-14829","1201 2 AVENUE, New York City, NY,  ","Match","Exact","1201 2ND AVE, NEW YORK, NY, 10065","-73.96249,40.763165","59657545","L","36","061","011000","1000"
"-11798","1125 MADISON AVENUE, New York City, NY,  ","No_Match"
"-10466","1589 BEDFORD AVENUE, New York City, NY,  ","No_Match"
"-11729","147 WEST 79 STREET, New York City, NY,  ","Match","Exact","147 W 79TH ST, NEW YORK, NY, 10024","-73.97745,40.782784","650073091","R","36","061","016500","2000"
"-9848","1215 OCEAN AVENUE, New York City, NY,  ","No_Match"
"-8517","544 EAST 86 STREET, New York City, NY,  ","Match","Exact","544 E 86TH ST, NEW YORK, NY, 10028","-73.94628,40.775566","59658383","R","36","061","014401","1000"
"2397","135 CENTRAL PARK WEST, New York City, NY,  ","Match","Exact","135 CENTRAL PARK W, NEW YORK, NY, 10023","-73.97521,40.77725","59657080","L","36","061","015700","1000"
