"-14830","365 WEST END AVENUE, New York City, NY,  ","Match","Exact","365 W END AVE, NEW YORK, NY, 10024","-73.98198,40.78324","59656643","L","36","061","016300","1005"
"-14804","222 EAST 87 STREET, New York City, NY,  ","Match","Exact","222 E 87TH ST, NEW YORK, NY, 10128","-73.95267,40.779144","610381041","R","36","061","014602","2000"
"-14807","54 FRANKLIN STREET, New York City, NY,  ","Match","Exact","54 FRANKLIN ST, NEW YORK, NY, 10013","-74.00278,40.717083","59660397","R","36","061","003100","1007"
"-14806","341 EAST 62 STREET, New York City, NY,  ","Match","Exact","341 E 62ND ST, NEW YORK, NY, 10065","-73.961624,40.761925","59657552","L","36","061","011000","5000"
"-14800","153 EAST 32 STREET, New York City, NY,  ","Match","Exact","153 E 32ND ST, NEW YORK, NY, 10016","-73.980064,40.744873","59654416","L","36","061","007200","5000"
"-14803","1751 YORK AVENUE, New York City, NY,  ","Match","Exact","1751 YORK AVE, NEW YORK, NY, 10128","-73.9447,40.77927","59658499","L","36","061","015200","3000"
"-14802","8 MANHATTAN AVENUE, New York City, NY,  ","Match","Exact","8 MANHATTAN AVE, NEW YORK, NY, 10025","-73.964165,40.79497","59656913","R","36","061","018900","2002"
"-17091","125 WEST 16 STREET, New York City, NY,  ","Match","Exact","125 W 16TH ST, NEW YORK, NY, 10011","-73.99668,40.739033","59653323","R","36","061","008100","1001"
"-14819","416 EAST 13 STREET, New York City, NY,  ","Match","Exact","416 E 13TH ST, NEW YORK, NY, 10009","-73.9826,40.730453","59654598","R","36","061","003400","4001"
"1044","43-22 UNION STREET, New York City, NY,  ","No_Match"
"1043","189-30 37 AVENUE, New York City, NY,  ","No_Match"
"1042","25-47 23 STREET, New York City, NY,  ","Tie"
"1041","42-47 UNION STREET, New York City, NY,  ","No_Match"
"1040","23-23 31 AVENUE, New York City, NY,  ","No_Match"
"-17097","2333 BROADWAY, New York City, NY,  ","Match","Exact","2333 BROADWAY, NEW YORK, NY, 10024","-73.97724,40.787457","59656709","L","36","061","017100","3001"
"-17094","35 WEST 21 STREET, New York City, NY,  ","Match","Exact","35 W 21ST ST, NEW YORK, NY, 10010","-73.991714,40.74077","59653502","R","36","061","005800","1009"
"-17095","243 WEST 113 STREET, New York City, NY,  ","Match","Exact","243 W 113TH ST, NEW YORK, NY, 10026","-73.955185,40.801823","59657665","R","36","061","021600","4000"
"1039","14-34 110 STREET, New York City, NY,  ","Tie"
"-14810","56 ST MARKS PLACE, New York City, NY,  ","Match","Exact","56 SAINT MARKS PL, NEW YORK, NY, 10003","-73.98677,40.72821","59654044","R","36","061","003800","7001"
"1038","27-16 41 AVENUE, New York City, NY,  ","No_Match"
"1037","83-17 BROADWAY, New York City, NY,  ","Tie"
"1036","14-25 BROADWAY, New York City, NY,  ","Match","Exact","14 BROADWAY, NEW YORK, NY, 10004","-74.01306,40.706093","59659614","R","36","061","000900","1002"
"1035","84-32 GRAND AVENUE, New York City, NY,  ","Match","Non_Exact","72 GRAND ST, NEW YORK, NY, 10013","-74.002426,40.721737","59660224","L","36","061","004700","2010"
"1034","136-16 35 AVENUE, New York City, NY,  ","No_Match"
"-14816","238 WEST 19 STREET, New York City, NY,  ","Match","Exact","238 W 19TH ST, NEW YORK, NY, 10011","-73.99859,40.742123","642870831","L","36","061","008700","3000"
"-14815","1556 YORK AVENUE, New York City, NY,  ","Match","Exact","1556 YORK AVE, NEW YORK, NY, 10028","-73.9489,40.773487","59658390","R","36","061","013600","8001"
"-14818","601 AMSTERDAM AVENUE, New York City, NY,  ","Match","Exact","601 AMSTERDAM AVE, NEW YORK, NY, 10024","-73.973564,40.789665","59656736","R","36","061","017300","3000"
"-14817","56 WEST 11 STREET, New York City, NY,  ","Match","Exact","56 W 11TH ST, NEW YORK, NY, 10011","-73.99676,40.73475","650154403","L","36","061","006300","2001"
